google_search,lon,lat
"6th Street And Ih 35 Service Road Austin, TX",-97.7352815,30.2657038
"600 Block I H 35 Austin, TX",-97.7350274,30.2658909
"700 Block San Jacinto Boulevard Austin, TX",-97.7403971,30.2689471
"6th And Neches Austin, TX",-97.738247,30.266782
"900 Block East 7th Street Austin, TX",-97.7330347,30.2665385
"901 East 7th Street Austin, TX",-97.7330559,30.2661118
"600 North Ih 35 Service Road Austin, TX",-97.5400244,30.943379
"502 East 6th Street Austin, TX",-97.7379889,30.2668838
"309 East 6th Street Austin, TX",-97.7401637,30.2670127
"222 East 6th Street Austin, TX",-97.7405032,30.2677092
"700 East 6th Street Austin, TX",-97.7358631,30.2663066
"North Ih 35 Service Road At East 7th Str Austin, TX",-97.7355667,30.2653491
"400 Block East 6th Dtreet Austin, TX",-97.7390604,30.2673915
"500 Block Ih35 At East 6th Street Austin, TX",-97.7353749,30.2654034
"505 East 7th Street Austin, TX",-97.7375539,30.2672791
"500 Block Ih35 Austin, TX",-97.7355667,30.2653491
"7th Street At Red River Street Austin, TX",-97.7368346,30.2674254
"700 Block Trinity Austin, TX",-97.739019,30.2682957
"4th Street And Trinity Street Austin, TX",-97.7400282,30.2652412
"Ih 35 Service Road And East 7th Street Austin, TX",-97.735299,30.266895
"Cesar Chavez And Ih 35 Service Road Austin, TX",-97.7334399,30.259907
"200 Block East 9th Street Austin, TX",-97.7404151,30.2704679
"600 Block Triity Austin, TX",-97.7393269,30.2672368
"700 East 7th Street Austin, TX",-97.7349654,30.2674769
"6th Street At Red River Street Austin, TX",-97.7371869,30.266475
"2000 Block Guadalupe Street Austin, TX",-97.7424129,30.2828231
"East 6th Street At North Ih 35 Austin, TX",-97.7350274,30.2658909
"7th Street At Ih 35 Service Road Austin, TX",-97.735299,30.266895
"East 8th Street At Red River Street Austin, TX",-97.7365015,30.2683569
"100 East 7th Street Austin, TX",-97.7424583,30.2689624
"100  East 6th Street Austin, TX",-97.7425372,30.2682647
"600 Block East 10th Street Austin, TX",-97.7357685,30.2702264
"400 East 6th Street Austin, TX",-97.7390604,30.2673915
"900 Block Congress Austin, TX",-97.742222,30.2712128
"500 Nueces Street Austin, TX",-97.7487757,30.2687334
"700 East Cesar Chavez Street Austin, TX",-97.7375406,30.2615526
"600 East 10th Street Austin, TX",-97.7357685,30.2702264
"7th Street And Ih 35 Service Road Austin, TX",-97.7346772,30.2668223
"100 Block Ih 35 Service Road Austin, TX",-97.4546273,31.0528842
"600 Neches Austin, TX",-97.7381057,30.2668634
"400 Congress Austin, TX",-97.7438558,30.2664806
"800 Congress Avenue Austin, TX",-97.7422188,30.2702192
"700 North Ih 35 Austin, TX",-97.7338972,30.2679472
"500 Block East Neches Austin, TX",-97.7385855,30.2658524
"119 East 6th Street Austin, TX",-97.7417565,30.2675827
"200 Brazos Street Austin, TX",-97.7428656,30.2639384
"600 Block Of Neches Austin, TX",-97.7381057,30.2668634
"200 Block West Cesar Chavez Austin, TX",-97.7463986,30.2642597
"East 7th Street At Red River Street Austin, TX",-97.7368346,30.2674254
"7th Street At Trinity Street Austin, TX",-97.7389915,30.2680197
"10 East Avenue Austin, TX",-97.7370851,30.2524682
"7th Street And Trinity Austin, TX",-97.7389915,30.2680197
"Trinity Street And East 6th Street Austin, TX",-97.739335,30.267068
"10 East Avebue Austin, TX",-97.7370851,30.2524682
"600 Trinity Austin, TX",-97.7393269,30.2672368
"600 Congress Avenue Austin, TX",-97.7431606,30.2686309
"East 6th Street At San Jacinto Austin, TX",-97.7404088,30.2673868
"9th Street At Congress Austin, TX",-97.7417729,30.2708576
"60 Block Congress Avenue Austin, TX",-97.7446114,30.2631937
"300 East 6th Street Austin, TX",-97.740155,30.267582
"500 Sabine Street Austin, TX",-97.7365336,30.2652668
"700 Block San Jacinto Austin, TX",-97.7403971,30.2689471
"300 Block East 6th Street North Alley Austin, TX",-97.740155,30.267582
"400 West 8th Street Austin, TX",-97.7456002,30.2708998
"700 Block Ih 35 Austin, TX",-97.4606081,31.0495204
"700 Block Congress Avenue Austin, TX",-97.7428373,30.269273
"1100 Block Red River Austin, TX",-97.735447,30.2711723
"90 Chalmers Avenue Austin, TX",-97.7274511,30.2567106
"1100 Block Red River Street Austin, TX",-97.735447,30.2711723
"2400 Guadalupe Street Austin, TX",-97.7416514,30.2877727
"300 Block East 7th Austin, TX",-97.7395929,30.2686238
"9th Street At Red River Austin, TX",-97.736154,30.269303
"9th Street And Red River Austin, TX",-97.736154,30.269303
"Congress Avenue And 9th Street Austin, TX",-97.7417729,30.2708576
"711 East 3rd Street Austin, TX",-97.7367491,30.2631844
"West 15th Street And San Antonio Austin, TX",-97.7440927,30.2781704
"6th Street and Neches Street Austin, TX",-97.738247,30.266782
"East 6th Street At Neches Austin, TX",-97.738247,30.266782
"East 15th Street And Red River Street Austin, TX",-97.7348193,30.2755483
"800 Block Congress Austin, TX",-97.7422188,30.2702192
"500 Block 6th Street Austin, TX",-97.7474845,30.2696472
"7th Street At Trinity Austin, TX",-97.7389915,30.2680197
"600 Block Sabin Austin, TX",-97.7430608,30.267153
"400 Block East 8th Street Austin, TX",-97.7381117,30.2690994
"500 Block  East 6th Street Austin, TX",-97.7379995,30.2670512
"407 East 6th Street Austin, TX",-97.7391028,30.2667172
"500 Block Trintiy Street Austin, TX",-97.7396808,30.2661534
"600 Block Brazos Austin, TX",-97.7413846,30.2679291
"Waller Creek Park And East 8th Street Austin, TX",-97.7345713,30.2693905
"San Jacinto and 6th Street Austin, TX",-97.7404088,30.2673868
"1000 Block Red River Street Austin, TX",-97.7367476,30.2710441
"1000 Block Red River Austin, TX",-97.7367476,30.2710441
"San Jacinto and East 6th Street Austin, TX",-97.7404088,30.2673868
"7th Street and Trinity Street Austin, TX",-97.7389915,30.2680197
"2500 Block Guadalupe Austin, TX",-97.7418505,30.2893227
"700 Red River Street Austin, TX",-97.736955,30.267771
"4th Street And Colorado Austin, TX",-97.7448523,30.2665735
"2300 Block Guadalupe Street Austin, TX",-97.7419673,30.2866335
"500 Block Neches Austin, TX",-97.7385855,30.2658524
"800 Block Waller Austin, TX",-97.7300659,30.266405
"500 Block East 8th Street Austin, TX",-97.737015,30.2688013
"300 Block Nueces Austin, TX",-97.7494892,30.2668455
"601 East 6th Street Austin, TX",-97.7369386,30.2662629
"Congress Avenue And East 6th Street Austin, TX",-97.742813,30.268066
"River Street And East Avenue Austin, TX",-97.7381301,30.2575717
"60 North Ih 35 Service Road Austin, TX",-97.5394649,30.9466381
"900 Block Red River Street Austin, TX",-97.7364065,30.2696141
"800 Block Red River Street Austin, TX",-97.7365015,30.2683569
"6th Street and Congress Avenue Austin, TX",-97.742813,30.268066
"1200 Block Waller Creek Austin, TX",-97.7288774,30.2723435
"900 Block North Congress Avenue Austin, TX",-97.742222,30.2712128
"7th At Trinity Austin, TX",-97.7389915,30.2680197
"15th Street And 35 Austin, TX",-97.7432215,30.2783371
"15th Street And Ih 35 Austin, TX",-97.7317668,30.2747227
"900 Block Waller Creek Austin, TX",-97.7298169,30.2673714
"1200 Waller Creek Austin, TX",-97.7288774,30.2723435
"600 Block Sabine Drive Austin, TX",-97.7362596,30.2663927
"7th Street And North Ih 35 Service Road Austin, TX",-97.7346772,30.2668223
"Neches And 6th Street Austin, TX",-97.738247,30.266782
"300 Congress Avenue Austin, TX",-97.744191,30.26558
